content_id,client_id,content_type,main_intent,impressions_90d,clicks_90d,clicks_last_30d,clicks_prev_30d,ctr,avg_position,days_since_last_update,model_score,baseline_score,rank,reason_codes,recommended_action
content_cebd12c46707,client_f369cb89fc,keyword article,informational,116,0,0,0,0.0,9.3,20,0.8557657728229766,0.0,131,visible in search,Investigate
content_41eb625c4aca,client_434c9b5ae5,keyword article,commercial,468,1,0,0,0.21,13.2,89,0.8557535314087236,0.0,132,visible in search,Investigate
content_6607847e4454,client_8527a891e2,keyword article,informational,786,1,0,0,0.13,9.3,104,0.8556173616475218,0.0,133,visible in search; meaningful impression volume,Investigate
content_5331ea9e4409,client_f369cb89fc,keyword article,informational,566,0,0,0,0.0,6.8,20,0.85542742537814,0.0,134,visible in search,Investigate
content_d5fd572a925f,client_f369cb89fc,keyword article,informational,331,2,0,0,0.6,4.1,20,0.8546054310675686,0.0,135,visible in search,Investigate
content_630f434b6951,client_8527a891e2,keyword article,informational,99,0,0,0,0.0,7.7,20,0.854130617917236,0.0,136,visible in search,Investigate
content_d93380a7ba75,client_4e07408562,keyword article,informational,1645,2,2,0,0.12,7.1,7,0.8539732039007342,-14.81220676247403,137,visible in search; meaningful impression volume,Investigate
content_c6d2559083f2,client_4e07408562,keyword article,informational,1315,4,0,3,0.3,16.6,104,0.8538943304443656,5.386764083913947,138,recent click decline; visible in search; meaningful impression volume,Investigate
content_694bc660415b,client_f369cb89fc,keyword article,informational,1195,0,0,0,0.0,7.5,20,0.8534374258716256,0.0,139,visible in search; meaningful impression volume,Investigate
content_99d0844356a5,client_8527a891e2,keyword article,informational,187,0,0,0,0.0,7.7,20,0.8534283974704616,0.0,140,visible in search,Investigate
content_e954c9e72773,client_4e07408562,keyword article,informational,976,1,0,1,0.1,9.8,7,0.8532870347538073,3.442243326021391,141,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_8881aba1e852,client_f369cb89fc,keyword article,informational,586,2,0,1,0.34,7.1,20,0.8528080365115908,3.1875124099140484,142,recent click decline; visible in search,CTR/content review
content_17e8b736fca7,client_8527a891e2,keyword article,transactional,36,0,0,0,0.0,9.0,20,0.8512888123668709,0.0,143,visible in search,Investigate
content_127a10fafeb9,client_f369cb89fc,keyword article,informational,277,0,0,0,0.0,6.8,20,0.8508292092617649,0.0,144,visible in search,Investigate
content_790cc62d4743,client_8527a891e2,keyword article,informational,758,1,0,0,0.13,31.1,104,0.8507278450766547,0.0,145,meaningful impression volume,Investigate
content_b08562686d22,client_f369cb89fc,keyword article,informational,2846,4,3,1,0.14,2.0,106,0.8506843011111006,-7.954021087278037,146,visible in search; meaningful impression volume,Investigate
content_4fc70e470460,client_4e07408562,keyword article,informational,766,0,0,0,0.0,5.7,104,0.8506813874794577,0.0,147,visible in search; meaningful impression volume,Investigate
content_bcaa614da3ad,client_434c9b5ae5,keyword article,informational,627,1,0,1,0.16,8.5,8,0.8506406172064092,3.2212700832340992,148,recent click decline; visible in search,CTR/content review
content_8f16a5524eee,client_f369cb89fc,keyword article,informational,829,6,1,3,0.72,5.3,20,0.8505991394970919,3.3607128503953216,149,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_6554f95afdd7,client_8527a891e2,keyword article,transactional,24,0,0,0,0.0,10.3,103,0.8501054498332419,0.0,150,visible in search,Investigate
content_d423fedf21f0,client_4e07408562,keyword article,commercial,2221,2,0,1,0.09,11.6,13,0.8500202843819219,3.853081485099788,151,recent click decline; visible in search; meaningful impression volume,Investigate
content_1c5b4e73b153,client_434c9b5ae5,keyword article,informational,150,1,0,1,0.67,8.5,89,0.8497422847759809,2.508639918407462,152,recent click decline; visible in search,CTR/content review
content_29f12ac3ad53,client_4e07408562,keyword article,informational,1753,2,0,1,0.11,9.6,14,0.8496652392586735,3.734827086466064,153,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_42452f42c008,client_f369cb89fc,keyword article,transactional,23,0,0,0,0.0,15.2,20,0.8491139805272903,0.0,154,visible in search,Investigate
content_f05beee7738a,client_434c9b5ae5,keyword article,commercial,107,0,0,0,0.0,52.4,8,0.8487223045372269,0.0,155,model-ranked opportunity,Investigate
content_85888f01be00,client_f369cb89fc,keyword article,informational,634,3,0,2,0.47,6.4,8,0.8482666139176362,4.302416665928462,156,recent click decline; visible in search,CTR/content review
content_a6ca34ee4c5e,client_4e07408562,keyword article,commercial,224,0,0,0,0.0,8.3,104,0.8480505062094941,0.0,157,visible in search,Investigate
content_0e1baeb3ecca,client_4e07408562,keyword article,informational,1560,1,1,0,0.06,3.5,7,0.8479175223528613,-7.353081920515432,158,visible in search; meaningful impression volume,Investigate
content_907688f36763,client_f369cb89fc,keyword article,commercial,11442,28,5,16,0.24,4.8,20,0.8479044661388366,6.046851067734991,159,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_53a79adb64de,client_434c9b5ae5,keyword article,informational,1374,0,0,0,0.0,9.2,8,0.8476948994502865,0.0,160,visible in search; meaningful impression volume,Investigate
content_251661eb804d,client_f369cb89fc,keyword article,informational,16,0,0,0,0.0,4.1,8,0.8476587135450965,0.0,161,visible in search,Investigate
content_f14a24375cc4,client_8527a891e2,keyword article,informational,21,0,0,0,0.0,8.3,104,0.8470644573916083,0.0,162,visible in search,Investigate
content_800619815f32,client_8527a891e2,keyword article,informational,658,1,0,0,0.15,8.4,104,0.8470090956829114,0.0,163,visible in search,Investigate
content_71efc27b02b3,client_4e07408562,keyword article,informational,1521,6,1,3,0.39,3.7,104,0.84660297477015,3.6638902692108157,164,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_4949d6107538,client_f369cb89fc,keyword article,informational,5105,3,0,1,0.06,1.9,8,0.846423290848623,4.269085798900715,165,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_c79bfcc07824,client_4e07408562,keyword article,informational,1321,3,0,2,0.23,9.4,14,0.8458963513968043,4.791267346941088,166,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_a988a5fb75c0,client_f369cb89fc,keyword article,informational,791,4,0,1,0.51,3.2,20,0.8453586790962869,3.337280695907213,167,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_dedca16a6aa5,client_f369cb89fc,keyword article,informational,23,0,0,0,0.0,9.5,8,0.8448652820133792,0.0,168,visible in search,Investigate
content_83ba21be7f59,client_f369cb89fc,keyword article,informational,85,0,0,0,0.0,3.9,20,0.8444257163506315,0.0,169,visible in search,Investigate
